"";"SetPointId";"ServingTeamName";"ReceivingTeamName";"WinningTeamServingCode";"ServingRotation";"ReceivingRotation";"ServingPlayerId";"GameStageDetail";"RatingService";"MarkovCoefLastTouchSideout"
"6693";"S129219_1H14V11";"Kladno";"Ostrava";"S";4;5;4318;"RegularGame";35,6473187586207;0
"6694";"S129219_1H15V11";"Kladno";"Ostrava";"R";4;5;4318;"RegularGame";35,6473187586207;0,4850044
"6695";"S129219_1H15V12";"Ostrava";"Kladno";"S";4;4;4322;"RegularGame";36,605235359116;0,3687095
"6696";"S129219_1H15V13";"Ostrava";"Kladno";"S";4;4;4322;"RegularGame";36,605235359116;0
"6697";"S129219_1H15V14";"Ostrava";"Kladno";"R";4;4;4322;"RegularGame";36,605235359116;1
"6698";"S129219_1H16V14";"Kladno";"Ostrava";"R";3;4;4443;"RegularGame";35,4042121759259;NA
"6699";"S129219_1H16V15";"Ostrava";"Kladno";"R";3;3;4323;"RegularGame";35,178943869863;NA
"6700";"S129219_1H17V15";"Kladno";"Ostrava";"R";2;3;4437;"RegularGame";32,8818041071428;1
"6701";"S129219_1H17V16";"Ostrava";"Kladno";"R";2;2;4507;"RegularGame";34,3557433227848;0,557645
"6702";"S129219_1H18V16";"Kladno";"Ostrava";"R";1;2;4344;"RegularGame";37,6329701977401;1
"6703";"S129219_1H18V17";"Ostrava";"Kladno";"R";1;1;4321;"RegularGame";33,975641122807;NA
"6704";"S129219_1H19V17";"Kladno";"Ostrava";"R";6;1;4445;"RegularGame";34,9852440199335;0,5023543
"6705";"S129219_1H19V18";"Ostrava";"Kladno";"R";6;6;4508;"RegularGame";31,5618958510638;NA
"6706";"S129219_1H20V18";"Kladno";"Ostrava";"R";5;6;4449;"LeadingInTightEndgame";36,928840872093;0,6467072
"6707";"S129219_1H20V19";"Ostrava";"Kladno";"S";5;5;4329;"LeadingInTightEndgame";33,870821697417;0,4597174
"6708";"S129219_1H20V20";"Ostrava";"Kladno";"S";5;5;4329;"BalancedTightEndgame";33,870821697417;0
